r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
2.352941176,6.3290938,0.294117647,6.004769475,3.265500795,0.19554849,6.022257552,0.030206677,0.632750397,1.157392687,3.3290938,0.319554849,4.915739269,1.166931638,629,2613,4.154213037,succ
1.780821918,3.935616438,0.130136986,2.905479452,2.505479452,0.163013699,3.273972603,0.015068493,0.193150685,0.445205479,2.408219178,0.142465753,2.847945205,0.853424658,1460,3132,2.145205479,unsucc
1.888399413,6.330885952,0.693587861,5.246696035,2.107195301,0.150758688,5.94371023,0.01566324,0.407733725,0.847283407,3.258443465,0.253548703,5.231522271,0.980910426,4086,16384,4.009789525,unsucc
1.434782609,4.027950311,0.463975155,3.699378882,1.989440994,0.223602484,3.942857143,0.033540373,0.327329193,0.531055901,2.013043478,0.175776398,3.357763975,0.706832298,3220,8386,2.604347826,unsucc
1.247947455,4.295566502,0.661740558,4.249589491,2.287356322,0.218390805,3.666666667,0.019704433,0.371100164,0.753694581,2.308702791,0.121510673,3.08045977,0.965517241,609,1599,2.625615764,succ
1.93114241,5.042253521,0.726134585,5.405320814,2.492957746,0.197183099,4.953051643,0.014084507,0.391236307,0.807511737,2.494522692,0.195618153,4.165884194,0.998435055,639,2229,3.488262911,succ
1.938411669,5.685575365,0.580226904,5.085899514,2.612641815,0.226904376,4.82171799,0.022690438,0.521880065,0.944894652,3.238249595,0.184764992,4.162074554,1.102106969,617,1910,3.095623987,succ
1.764341085,4.784496124,0.996899225,4.871317829,2.610852713,0.209302326,4.578294574,0.020155039,0.389147287,0.829457364,2.35503876,0.11627907,4.009302326,0.855813953,645,1989,3.08372093,succ
1.953815261,5.740963855,0.074297189,5.058232932,3.606425703,0.267068273,4.291164659,0.036144578,0.53815261,1.267068273,2.242971888,0.347389558,3.694779116,0.885542169,996,2716,2.726907631,unsucc
2.178528347,5.852834741,0.324487334,5.632086852,2.177322075,0.208685163,5.311218335,0.02291918,0.515078408,1.25331725,2.863691194,0.162846803,4.553679131,0.882991556,1658,5760,3.474065139,unsucc
0.93877551,3.272108844,0.612244898,4.209912536,1.756073858,0.130223518,3.914480078,0.016520894,0.328474247,0.80952381,1.813411079,0.090379009,3.490767736,0.932944606,1029,2705,2.628765792,succ
0.856198347,4.008264463,0.304132231,4.084297521,2,0.080991736,3.829752066,0.011570248,0.490909091,0.588429752,1.284297521,0.06446281,3.246280992,0.408264463,1210,2844,2.350413223,unsucc
1.633663366,5.234794908,0.98019802,4.762376238,2.473833098,0.189533239,5.026874116,0.018387553,0.445544554,0.677510608,2.384724187,0.151343706,4.352192362,0.838755304,1414,4552,3.219236209,unsucc
2.15601023,7.173913043,0.691815857,7.037084399,3.934782609,0.267263427,5.433503836,0.038363171,0.881074169,0.89258312,3.959079284,0.350383632,4.245524297,1.281329923,1564,6290,4.02173913,unsucc
1.998134328,4.878731343,0.503731343,5.298507463,2.671641791,0.134328358,5.328358209,0.005597015,0.542910448,0.800373134,2.720149254,0.179104478,4.509328358,1.115671642,536,2056,3.835820896,succ
